       80.078  5.3E-10 -5.0E-10
       80.256  4.6E-10 -5.4E-10
       80.640  1.0E-10 -6.9E-11
       80.928  3.4E-10 -8.4E-10
       81.177  1.1E-10 -7.4E-11
       81.581  5.2E-10 -4.9E-10
       81.759  4.7E-10 -5.4E-10
       82.147  1.1E-10 -7.5E-11
       82.430  3.7E-10 -9.2E-10
       82.686  9.6E-11 -6.6E-11
       83.088  4.9E-10 -4.8E-10
       83.266  5.0E-10 -5.4E-10
       83.660  1.3E-10 -9.0E-11
       83.934  3.9E-10 -9.9E-10
       84.201  7.7E-11 -5.2E-11
       84.600  4.3E-10 -4.5E-10
       84.777  5.2E-10 -5.3E-10
       85.179  1.7E-10 -1.2E-10
       85.440  3.3E-10 -8.3E-10
       85.722  5.4E-11 -3.6E-11
       86.113  3.2E-10 -3.6E-10
       86.293  5.2E-10 -4.9E-10
       86.703  2.3E-10 -1.6E-10
       86.947  1.7E-10 -4.0E-10
       87.249  3.3E-11 -2.1E-11
       87.628  1.6E-10 -2.0E-10
       87.814  4.9E-10 -4.2E-10
       88.230  3.0E-10 -2.1E-10
       88.455 -7.4E-12  1.5E-11
       88.780  1.9E-11 -1.2E-11
       89.143 -1.4E-11  2.2E-11
       89.339  4.1E-10 -3.3E-10
       89.759  3.8E-10 -2.9E-10
       89.967 -4.6E-11  8.0E-11
       90.315  1.9E-11 -1.2E-11
       90.657 -6.8E-11  1.2E-10
       90.869  3.2E-10 -2.4E-10
       91.290  4.7E-10 -3.8E-10
       91.482  1.0E-10 -1.5E-10
       91.853  3.8E-11 -2.4E-11
       92.170  1.0E-10 -2.2E-10
       92.404  2.2E-10 -1.5E-10
       92.820  5.1E-10 -4.6E-10
       93.002  3.3E-10 -3.8E-10
       93.393  8.0E-11 -5.2E-11
       93.681  3.4E-10 -8.4E-10
       93.943  1.3E-10 -9.0E-11
       94.348  4.6E-10 -4.7E-10
       94.527  4.7E-10 -4.7E-10
       94.935  1.5E-10 -1.0E-10
       95.192  3.0E-10 -7.3E-10
       95.485  7.1E-11 -4.6E-11
       95.873  2.6E-10 -3.2E-10
       96.057  4.9E-10 -4.3E-10
       96.476  2.5E-10 -1.8E-10
       96.704  3.6E-11 -7.5E-11
       97.029  3.4E-11 -2.1E-11
       97.394  2.1E-11 -3.1E-11
       97.592  4.2E-10 -3.3E-10
       98.015  3.7E-10 -2.8E-10
       98.220 -4.0E-11  6.7E-11
       98.575  2.3E-11 -1.4E-11
       98.911 -3.7E-11  7.1E-11
       99.130  3.1E-10 -2.3E-10
       99.551  4.7E-10 -4.0E-10
       99.740  1.5E-10 -2.0E-10
      100.120  4.0E-11 -2.6E-11
      100.425  2.0E-10 -4.6E-10
      100.671  2.1E-10 -1.4E-10
      101.083  5.1E-10 -4.9E-10
      101.264  3.8E-10 -4.1E-10
      101.664  8.8E-11 -5.8E-11
      101.936  3.7E-10 -9.3E-10
      102.214  1.2E-10 -8.2E-11
      102.611  4.1E-10 -4.6E-10
      102.792  4.9E-10 -4.5E-10
      103.205  1.7E-10 -1.2E-10
      103.448  1.9E-10 -4.4E-10
      103.757  6.5E-11 -4.2E-11
      104.133  1.8E-10 -2.5E-10
      104.323  4.8E-10 -4.0E-10
      104.744  2.7E-10 -2.0E-10
      104.961 -3.7E-11  7.1E-11
      105.298  3.1E-11 -2.0E-11
      105.651 -2.2E-11  3.6E-11
      105.856  4.1E-10 -3.1E-10
      106.278  3.8E-10 -3.0E-10
      106.476 -3.3E-11  5.0E-11
      106.838  1.8E-11 -1.2E-11
      107.165 -1.9E-11  3.8E-11
      107.389  3.2E-10 -2.3E-10
      107.807  4.8E-10 -4.1E-10
      107.993  1.4E-10 -1.8E-10
      108.374  2.6E-11 -1.7E-11
      108.675  1.8E-10 -4.3E-10
      108.922  2.4E-10 -1.7E-10
      109.332  5.3E-10 -5.0E-10
      109.511  3.2E-10 -3.6E-10
      109.906  4.9E-11 -3.3E-11
      110.183  3.6E-10 -9.1E-10
      110.452  1.8E-10 -1.2E-10
      110.851  5.1E-10 -5.4E-10
      111.030  4.4E-10 -4.4E-10
      111.434  8.3E-11 -5.7E-11
      111.691  3.6E-10 -8.9E-10
      111.978  1.3E-10 -8.4E-11
      112.366  4.4E-10 -5.1E-10
      112.547  5.0E-10 -4.6E-10
      112.957  1.2E-10 -8.5E-11
      113.197  2.4E-10 -5.5E-10
      113.500  9.4E-11 -6.1E-11
      113.877  3.4E-10 -4.3E-10
      114.061  5.1E-10 -4.5E-10
      114.474  1.6E-10 -1.1E-10
      114.702  1.1E-10 -2.3E-10
      115.017  7.2E-11 -4.7E-11
      115.385  2.5E-10 -3.4E-10
      115.572  5.1E-10 -4.3E-10
      115.985  1.8E-10 -1.3E-10
      116.206  2.1E-11 -4.2E-11
      116.527  6.1E-11 -4.0E-11
      116.889  2.0E-10 -2.9E-10
      117.078  5.1E-10 -4.3E-10
      117.490  1.9E-10 -1.4E-10
      117.707 -1.4E-11  2.8E-11
      118.030  5.9E-11 -3.9E-11
      118.389  2.0E-10 -3.0E-10
      118.578  5.2E-10 -4.4E-10
      118.988  1.7E-10 -1.3E-10
      119.206  5.4E-12 -1.1E-11
      119.525  6.9E-11 -4.5E-11
      119.886  2.8E-10 -3.9E-10
      120.072  5.4E-10 -4.6E-10
      120.479  1.3E-10 -9.4E-11
      120.702  1.1E-10 -2.3E-10
      121.011  9.4E-11 -6.3E-11
      121.378  4.2E-10 -5.5E-10
      121.559  5.4E-10 -4.9E-10
      121.961  6.7E-11 -4.8E-11
      122.196  3.1E-10 -7.3E-10
      122.488  1.4E-10 -9.8E-11
      122.864  5.8E-10 -6.9E-10
      123.039  4.9E-10 -4.8E-10
      123.432  5.1E-12 -3.6E-12
      123.687  4.5E-10 -1.1E-09
      123.954  2.3E-10 -1.6E-10
      124.341  6.3E-10 -6.5E-10
      124.514  3.0E-10 -3.3E-10
      124.892 -2.9E-11  2.0E-11
      125.175  9.5E-11 -2.3E-10
      125.411  3.6E-10 -2.6E-10
      125.806  4.4E-10 -4.0E-10
      125.986 -1.2E-10  1.7E-10
      126.338 -5.1E-12  3.5E-12
      126.657 -1.0E-10  1.9E-10
      126.858  5.3E-10 -4.2E-10
      127.255  1.4E-10 -1.2E-10
      127.459 -1.2E-10  2.4E-10
      127.770  1.0E-10 -6.9E-11
      128.125  6.0E-10 -7.9E-10
      128.300  5.6E-10 -5.3E-10
      128.684 -4.0E-11  3.0E-11
      128.935  4.6E-10 -1.2E-09
      129.189  3.1E-10 -2.3E-10
      129.570  5.3E-10 -5.1E-10
      129.744 -7.8E-11  1.0E-10
      130.093 -1.1E-11  8.1E-12
      130.405 -5.5E-11  1.0E-10
      130.599  5.9E-10 -4.9E-10
      130.985  1.3E-11 -1.0E-11
      131.200  2.6E-10 -5.9E-10
      131.482  2.1E-10 -1.5E-10
      131.846  7.3E-10 -8.0E-10
      132.012  2.2E-10 -2.5E-10
      132.368 -4.3E-11  3.1E-11
      132.662 -2.2E-10  4.6E-10
      132.860  5.9E-10 -4.9E-10
      133.239 -2.1E-11  1.7E-11
      133.449  3.0E-10 -7.0E-10
      133.724  2.5E-10 -1.9E-10
      134.084  6.4E-10 -6.7E-10
      134.250 -6.7E-11  8.6E-11
      134.587  5.9E-12 -4.3E-12
      134.897  3.8E-10 -6.4E-10
      135.074  6.7E-10 -6.3E-10
      135.439 -1.2E-10  9.2E-11
      135.681  2.9E-10 -7.7E-10
      135.909  4.8E-10 -3.9E-10
      136.272  2.1E-11 -1.9E-11
      136.460 -3.1E-10  6.2E-10
      136.742  2.4E-10 -1.8E-10
      137.086  6.3E-10 -6.9E-10
      137.247 -2.4E-10  3.3E-10
      137.567  6.9E-11 -5.4E-11
      137.880  1.1E-09 -1.5E-09
      138.041  5.8E-10 -6.2E-10
      138.380 -5.3E-11  4.2E-11
      138.657  8.3E-11 -1.6E-10
      138.834  7.3E-10 -7.1E-10
      139.178 -1.4E-10  1.2E-10
      139.423 -4.7E-10  1.2E-09
      139.620  6.7E-10 -6.1E-10
      139.961 -1.9E-10  1.7E-10
      140.182  3.3E-10 -8.9E-10
      140.394  6.1E-10 -5.5E-10
      140.730 -2.3E-10  2.1E-10
      140.937  8.5E-10 -2.3E-09
      141.155  5.8E-10 -5.3E-10
      141.484 -2.5E-10  2.4E-10
      141.687  8.8E-10 -2.4E-09
      141.900  6.1E-10 -5.7E-10
      142.222 -2.4E-10  2.3E-10
      142.431  9.3E-11 -2.6E-10
      142.628  7.0E-10 -6.8E-10
      142.942 -1.6E-10  1.5E-10
      143.169 -6.2E-10  1.5E-09
      143.341  8.1E-10 -8.6E-10
      143.642  9.1E-12 -8.6E-12
      143.893  1.9E-09 -3.4E-09
      144.039  5.7E-10 -7.0E-10
      144.320  2.0E-10 -2.0E-10
      144.592  5.5E-11 -7.3E-11
      144.732 -1.7E-09  3.0E-09
      144.975  4.1E-10 -4.1E-10
      145.256 -3.8E-10  4.2E-10
      145.434  4.5E-10 -1.3E-09
